Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК
Цех_1,13,2014-06-17 14:00:00,3.8,3.2,4.1,2.3,2.7,2.8,3.6,2.9,0.5,,,,,,,,,,1.7,1.1,2.6,,,,,,,,,4700.0,4850.0,,32.9,39.7,хорошо,допустимо,допустимо,ВИК-3 №7,10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2015-01-27 08:00:00,2.3,3.4,4.4,1.8,2.4,1.9,1.6,2.8,0.7,,,,,,,,,,1.4,1.3,1.8,,,,,,,,,4980.0,5000.0,,,,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2015-02-12 08:47:00,2.9,1.8,4.45,1.2,1.8,1.6,1.7,1.9,0.6,,,,,,,,,,1.4,0.8,2.4,,,,,,,,,4864.0,4870.0,,,,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2015-07-13 08:30:00,3.0,2.5,4.0,1.2,1.4,1.1,1.9,1.8,0.5,,,,,,,,,,0.7,0.6,0.6,,,,,,,,,4840.0,4900.0,,3.74,4.44,хорошо,отлично,хорошо,ВИК-3 №7,10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2015-11-17 16:00:00,4.5,4.5,6.0,2.6,3.5,2.3,3.8,4.2,1.7,,,,,,,,,,2.4,1.9,2.3,,,,,,,,,4922.0,5156.0,,,,допустимо,хорошо,допустимо,ВИК-3 №7,10 - 5000,,высокий режим,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2015-12-03 14:00:00,1.6,1.1,1.9,1.8,1.8,1.4,1.2,0.8,0.8,,,,,,,,,,1.4,1.2,1.7,,,,,,,,,4875.0,4828.0,,,,хорошо,отлично,хорошо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-01-26 10:20:00,1.7,1.2,1.8,1.6,1.5,1.1,1.1,0.8,0.8,,,,,,,,,,1.5,1.1,1.8,,,,,,,,,4530.0,4450.0,,4.4,5.12,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-02-26 11:00:00,1.6,1.3,1.1,1.7,1.4,1.3,0.8,0.6,0.5,,,,,,,,,,1.3,1.0,1.1,,,,,,,,,4700.0,4400.0,,,,отлично,отлично,отлично,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-03-25 10:00:00,1.5,1.2,1.0,1.6,1.4,1.2,1.0,0.9,0.6,,,,,,,,,,1.4,1.0,1.3,,,,,,,,,4860.0,4600.0,,,,отлично,отлично,отлично,ВК-5М №12628,10 - 1000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-04-25 10:00:00,1.5,1.1,2.2,1.6,1.4,1.2,1.4,0.6,0.4,,,,,,,,,,2.7,2.0,2.7,,,,,,,,,4707.0,4696.0,,,,хорошо,допустимо,допустимо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-05-30 11:00:00,2.0,1.6,1.5,2.0,1.2,1.2,1.5,1.1,0.5,,,,,,,,,,2.2,1.7,3.6,,,,,,,,,4688.0,4828.0,,,,хорошо,допустимо,допустимо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-06-15 14:00:00,1.9,1.1,1.5,2.0,1.7,1.5,1.8,1.7,0.7,,,,,,,,,,1.5,1.1,2.7,,,,,,,,,4820.0,4700.0,,,,хорошо,допустимо,допустимо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-06-23 14:00:00,2.3,3.2,3.5,1.8,2.2,1.9,2.8,3.7,1.7,,,,,,,,,,2.0,1.6,2.5,,,,,,,,,5040.0,4760.0,,,,хорошо,допустимо,допустимо,ВК-5М №12628,10 - 1000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-09-29 14:00:00,2.2,1.5,1.9,1.4,1.4,1.5,2.1,2.7,1.1,,,,,,,,,,1.2,0.9,1.2,,,,,,,,,4970.0,5100.0,,,,хорошо,отлично,хорошо,ВК-5М №12628,10 - 1000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-09-30 14:00:00,3.3,2.4,2.3,2.1,1.6,1.5,2.6,2.5,0.9,,,,,,,,,,1.5,1.0,2.4,,,,,,,,,4940.0,5000.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-10-25 15:50:00,2.7,1.8,2.4,2.0,1.4,1.4,2.3,2.1,0.8,,,,,,,,,,1.8,1.0,1.7,,,,,,,,,4920.0,5050.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-11-18 10:00:00,2.4,2.0,2.1,1.7,1.5,1.6,2.4,1.9,1.0,,,,,,,,,,1.7,1.3,2.3,,,,,,,,,4960.0,4907.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2016-12-09 14:00:00,2.2,1.4,1.9,1.6,1.3,1.9,2.3,2.4,0.8,,,,,,,,,,1.7,1.3,2.0,,,,,,,,,5000.0,4995.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
Цех_1,13,2017-05-11 09:00:00,2.2,1.4,1.9,,,,2.3,2.4,0.8,,,,,,,,,,1.7,1.3,2.0,,,,,,,,,5000.0,4995.0,,,,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 5000,, -,Приводинское ЛПУМГ,КС-14,ГТ-750-6,ГТ 750-6 А2,Н-370-17-1
