,Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
1102,Цех_2,22,2010-10-22 14:00:00,1.0,2.2,1.5,4.3,4.0,1.9,,,,,,,,,,,,,1.9,2.1,1.8,,,,,,,,,4690.0,4180.0,,43.3,51.5,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,89899, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,4.3,2.1,
1103,Цех_2,22,2010-11-23 08:10:00,1.4,2.3,2.8,2.7,2.1,2.2,,,,,,,,,,,,,2.0,2.3,3.2,,,,,,,,,4450.0,3860.0,,43.4,50.5,хорошо,допустимо,допустимо,ВИК-3 №7,10 - 5000,90661, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.8,3.2,
1104,Цех_2,22,2010-12-16 08:00:00,1.5,1.2,2.6,3.0,3.0,1.4,,,,,,,,,,,,,1.6,1.0,2.3,,,,,,,,,4530.0,4000.0,,42.4,50.05,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,91213, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,3.0,2.3,
1105,Цех_2,22,2011-01-31 15:00:00,0.7,0.5,0.7,1.4,0.6,0.8,,,,,,,,,,,,,1.4,0.8,0.7,,,,,,,,,4651.0,4120.0,,43.2,51.6,хорошо,отлично,хорошо,ВК-5М №12628,10 - 1000,91213, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.4,1.4,
1106,Цех_2,22,2011-02-09 09:00:00,2.0,1.6,2.7,3.2,4.0,2.8,,,,,,,,,,,,,1.7,2.1,2.0,,,,,,,,,4518.0,3930.0,,44.45,51.5,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,92534, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,4.0,2.1,
1107,Цех_2,22,2011-03-14 08:10:00,1.7,1.2,1.8,2.7,3.5,1.6,,,,,,,,,,,,,2.3,2.6,2.4,,,,,,,,,4543.0,4050.0,,42.6,50.15,хорошо,допустимо,допустимо,ВИК-3 №7,10 - 5000,93325, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,3.5,2.6,
1108,Цех_2,22,2011-12-14 10:00:00,1.8,1.7,1.9,1.8,1.3,1.2,,,,,,,,,,,,,1.6,1.8,1.4,,,,,,,,,4554.0,4190.0,,37.6,44.8,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,93872, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.9,1.8,
1109,Цех_2,22,2012-01-12 08:15:00,2.2,1.7,1.1,1.8,1.8,1.4,,,,,,,,,,,,,2.0,1.1,1.2,,,,,,,,,4700.0,4190.0,,43.0,51.5,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,94552, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.2,2.0,
1110,Цех_2,22,2012-02-07 10:00:00,1.5,2.0,1.3,3.4,2.6,2.1,,,,,,,,,,,,,2.0,1.8,1.6,,,,,,,,,4658.0,4510.0,,32.1,39.7,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,95178, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,3.4,2.0,
1111,Цех_2,22,2012-03-19 10:30:00,1.2,0.8,1.8,,,,,,,,,,,,,,,,1.3,1.2,0.8,,,,,,,,,4525.0,4090.0,,33.0,40.1,хорошо,отлично,хорошо,ВИК-3 №7,10 - 5000,96163, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.8,1.3,
